Establishment,Full Address,Business Ownership,Inspection Focus,NAICS Code,Inspection Purpose,Union Status,Employee Count,Inspection Start Date
AMAZON DATA CENTER,"2570 BEECH ROAD NORTHWEST, JOHNSTOWN, OH, 43031",Private Sector,Safety,518210,Referral,Non-Union,20,2021-02-24
"AMAZON DATA SERVICES INC, IAD68","42948 FRADELEY LN, STERLING, VA, 20166",Private Sector,Safety,518210,Referral,Non-Union,20,2021-03-04
CIOX HEALTH LLC,"TRIOS CARE CENTER 3730 PLAZA WAY, KENNEWICK, WA, 99338",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,2,2021-03-17
"O'NEIL DIGITAL SOLUTIONS, LLC","12655 BEATRICE STREET, LOS ANGELES, CA, 90066",Private Sector,Safety,518210,Accident,Non-Union,125,2021-04-28
BIGBYTE.CC CORP.,"123 CENTRAL AVE. NW, ALBUQUERQUE, NM, 87102",Private Sector,Safety,518210,Referral,Non-Union,8,2021-05-10
RUSSELL INDUSTRIAL CENTER,"1600 CLAY ST, DETROIT, MI, 48211",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,10,2021-06-18
AMAZON.COM SERVICES LLC,"13905 CRAYTON BOULEVARD, HAGERSTOWN, MD, 21742",Private Sector,Health,518210,Complaint,Non-Union,632,2021-07-27
WELLWOOD PLUMBING AND HEATING CO. INC.,"274 SOUTH FIRST ST., LINDENHURST, NY, 11757",Private Sector,Safety,518210,Complaint,Non-Union,11,2021-09-02
"META PLATFORMS, INC.","1180 DISCOVERY WAY, SUNNYVALE, CA, 94089",Private Sector,Health,518210,Unprogrammed Related,Non-Union,50,2021-11-03
NYSOITS,"EMPIRE STATE PLAZA, CORE 4, SWAN ST, ALBANY, NY, 12226",State Government,Health,518210,Fatality/Catastrophe,Union,495,2021-11-19
BIT 49 INC,"210 11TH STREET W, GLENCOE, MN, 55336",Private Sector,Health,518210,Referral,Non-Union,3,2021-11-23
BRANDENBURG TELECOM LLC,"SALT RIVER RD., RINEYVILLE, KY, 40162",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,116,2021-12-08
AMAZON,"12111 DEBARTOLO DRIVE, NORTH JACKSON, OH, 44451",Private Sector,Safety,518210,Referral,Non-Union,190,2022-02-14
RX DATA 365,"445 CLINTON STREET, CLINTON, MO, 64735",Private Sector,Safety,518210,Referral,Non-Union,1,2022-02-16
